"Time","Latitude","Longitude","Course","kts","mph","feet","Rate","Reporting Facility"
"05:06:38",41.9839,-87.9266,270,167,192,700,"Level","FlightAware ADS-B (KPWK)"
"05:06:54",41.9839,-87.9437,270,170,196,1425,"2,156 Climbing","FlightAware ADS-B"
"05:07:10",41.9839,-87.9614,270,182,209,1850,"1,406 Climbing","FlightAware ADS-B (KORD)"
"05:07:26",41.9840,-87.9817,270,204,235,2175,"1,078 Climbing","FlightAware ADS-B (KDKB)"
"05:07:42",41.9839,-88.0015,270,223,257,2425,"1,078 Climbing","FlightAware ADS-B (KORD)"
"05:07:58",41.9820,-88.0245,252,249,287,2750,"1,500 Climbing","FlightAware ADS-B (KDKB)"
"05:08:14",41.9714,-88.0456,220,264,304,3225,"2,156 Climbing","FlightAware ADS-B (KORD)"
"05:08:30",41.9537,-88.0570,192,271,312,3900,"2,953 Climbing","FlightAware ADS-B (KIGQ)"
"05:08:46",41.9333,-88.0577,177,268,308,4800,"3,237 Climbing","FlightAware ADS-B (KDPA)"
"05:09:08",41.9069,-88.0553,176,267,307,5950,"3,038 Climbing","FlightAware ADS-B (KIKK)"
"05:09:25",41.8859,-88.0532,178,271,312,6775,"2,512 Climbing","FlightAware ADS-B (KIGQ)"
"05:09:51",41.8522,-88.0593,191,283,326,7750,"2,438 Climbing","FlightAware ADS-B (KORD)"
"05:10:21",41.8135,-88.0700,192,291,335,9050,"2,100 Climbing","FlightAware ADS-B (KORD)"
"05:11:06",41.7513,-88.0873,192,324,373,10375,"1,523 Climbing","FlightAware ADS-B (KDPA)"
