Site, Address
   1, 805 W. Victoria Lane Chicago IL
   2, 1700 Bloomingdale Avenue Chicago IL
   3, 96 N. Mason Street Chicago IL
  31, 333 N. Franzen Street Chicago IL
   4, 9879 Ivanhoe Avenue Chicago IL
  28, 4934 Half Harold Avenue Chicago IL
   5, 6314 W. Rosedale Avenue Chicago IL
  11, 7416 W. Roscoe Street Chicago IL
  39, 4145 W. Wilson Avenue Chicago IL
  40, 2736 W. Ardmore Avenue Chicago IL
  42, 7361 W. Farwell Avenue Chicago IL
  46, 5801 N. Central Park Avenue Chicago IL
  12, 343 E. Elk Grove Boulevard Chicago IL
  13, 1600 Nicholas Avenue Chicago IL
  14, 351 Briarwood Lane Chicago IL
  34, 1240 Somerset Lane Chicago IL
  10, 3506 Half Owl Drive Chicago IL
   7, 1410 Half Dennis Place Chicago IL
   8, 2605 Maple Street Chicago IL
  15, 10145 Minneapolis Avenue Chicago IL
  16, 10601 Seymour Avenue Chicago IL
  17, 7240 Argyle Street Chicago IL
  44, 350 E. Irving Park Road Chicago IL
  19, 3850 Division Street Chicago IL
  20, 1803 Lavergne Drive Chicago IL
  21, 799 School Street Chicago IL
  37, 1835 Wood Lane Chicago IL
  45, 7990 W. Keeney Street Chicago IL
  18, 7515 W. Cullom Avenue Chicago IL
  22, 5005 Plainfield Avenue Chicago IL
  23, 31 W. King Arthur Court Chicago IL
  35, 459 Geneva Avenue Chicago IL
  24, 1100 Parkside Drive Chicago IL
  25, 1427 Granville Avenue Chicago IL
  26, 1421 Garden Street Chicago IL
  33, 720A S. Prospect Avenue Chicago IL
  27, 6010 Ruby Street Chicago IL
  29, 427 Grove Avenue Chicago IL
  30, 399 Oak Meadows Drive Chicago IL
  32, 744 Edgewood Avenue Chicago IL
